t,x_cin,v_cin,x_pot,v_pot,E_cin_total,E_pot_total
0.0113,2.9096,-8,2.9096,-8,32,32
0.0114,2.9088,-8,2.9088,-8,32,32
0.0115,2.908,-8,2.908,-8,32,32
0.0116,2.9072,-8,2.9072,-8,32,32
0.0117,2.9064,-8,2.9064,-8,32,32
0.0118,2.9056,-8,2.9056,-8,32,32
0.0119,2.9048,-8,2.9048,-8,32,32
0.012,2.904,-8,2.904,-8,32,32
0.0121,2.9032,-8,2.9032,-8,32,32
0.0122,2.9024,-8,2.9024,-8,32,32
0.0123,2.9016,-8,2.9016,-8,32,32
0.0124,2.9008,-8,2.9008,-8,32,32
0.0125,2.9,-8,2.9,-8,32,32
0.0126,2.8992,-8,2.8992,-8,32,32
0.0127,2.8984,-8,2.8984,-8,32,32
0.0128,2.8976,-8,2.8976,-8,32,32
0.0129,2.8968,-8,2.8968,-8,32,32
0.013,2.896,-8,2.896,-8,32,32
0.0131,2.8952,-8,2.8952,-8,32,32
0.0132,2.8944,-8,2.8944,-8,32,32
0.0133,2.8936,-8,2.8936,-8,32,32
0.0134,2.8928,-8,2.8928,-8,32,32
0.0135,2.892,-8,2.892,-8,32,32
0.0136,2.8912,-8,2.8912,-8,32,32
0.0137,2.8904,-8,2.8904,-8,32,32
0.0138,2.8896,-8,2.8896,-8,32,32
0.0139,2.8888,-8,2.8888,-8,32,32
0.014,2.888,-8,2.888,-8,32,32
0.0141,2.8872,-8,2.8872,-8,32,32
0.0142,2.8864,-8,2.8864,-8,32,32
0.0143,2.8856,-8,2.8856,-8,32,32
0.0144,2.8848,-8,2.8848,-8,32,32
0.0145,2.884,-8,2.884,-8,32,32
0.0146,2.8832,-8,2.8832,-8,32,32
0.0147,2.8824,-8,2.8824,-8,32,32
0.0148,2.8816,-8,2.8816,-8,32,32
0.0149,2.8808,-8,2.8808,-8,32,32
0.015,2.88,-8,2.88,-8,32,32
0.0151,2.8792,-8,2.8792,-8,32,32
0.0152,2.8784,-8,2.8784,-8,32,32
0.0153,2.8776,-8,2.8776,-8,32,32
0.0154,2.8768,-8,2.8768,-8,32,32
0.0155,2.876,-8,2.876,-8,32,32
0.0156,2.8752,-8,2.8752,-8,32,32
0.0157,2.8744,-8,2.8744,-8,32,32
0.0158,2.8736,-8,2.8736,-8,32,32
0.0159,2.8728,-8,2.8728,-8,32,32
0.016,2.872,-8,2.872,-8,32,32
0.0161,2.8712,-8,2.8712,-8,32,32
0.0162,2.8704,-8,2.8704,-8,32,32
0.0163,2.8696,-8,2.8696,-8,32,32
0.0164,2.8688,-8,2.8688,-8,32,32
0.0165,2.868,-8,2.868,-8,32,32
0.0166,2.8672,-8,2.8672,-8,32,32
0.0167,2.8664,-8,2.8664,-8,32,32
0.0168,2.8656,-8,2.8656,-8,32,32
0.0169,2.8648,-8,2.8648,-8,32,32
0.017,2.864,-8,2.864,-8,32,32
0.0171,2.8632,-8,2.8632,-8,32,32
0.0172,2.8624,-8,2.8624,-8,32,32
0.0173,2.8616,-8,2.8616,-8,32,32
0.0174,2.8608,-8,2.8608,-8,32,32
0.0175,2.86,-8,2.86,-8,32,32
0.0176,2.8592,-8,2.8592,-8,32,32
0.0177,2.8584,-8,2.8584,-8,32,32
0.0178,2.8576,-8,2.8576,-8,32,32
0.0179,2.8568,-8,2.8568,-8,32,32
0.018,2.856,-8,2.856,-8,32,32
0.0181,2.8552,-8,2.8552,-8,32,32
0.0182,2.8544,-8,2.8544,-8,32,32
0.0183,2.8536,-8,2.8536,-8,32,32
0.0184,2.8528,-8,2.8528,-8,32,32
0.0185,2.852,-8,2.852,-8,32,32
0.0186,2.8512,-8,2.8512,-8,32,32
0.0187,2.8504,-8,2.8504,-8,32,32
0.0188,2.8496,-8,2.8496,-8,32,32
0.0189,2.8488,-8,2.8488,-8,32,32
0.019,2.848,-8,2.848,-8,32,32
0.0191,2.8472,-8,2.8472,-8,32,32
0.0192,2.8464,-8,2.8464,-8,32,32
0.0193,2.8456,-8,2.8456,-8,32,32
0.0194,2.8448,-8,2.8448,-8,32,32
0.0195,2.844,-8,2.844,-8,32,32
0.0196,2.8432,-8,2.8432,-8,32,32
0.0197,2.8424,-8,2.8424,-8,32,32
0.0198,2.8416,-8,2.8416,-8,32,32
0.0199,2.8408,-8,2.8408,-8,32,32
0.02,2.84,-8,2.84,-8,32,32
0.0201,2.8392,-8,2.8392,-8,32,32
0.0202,2.8384,-8,2.8384,-8,32,32
0.0203,2.8376,-8,2.8376,-8,32,32
0.0204,2.8368,-8,2.8368,-8,32,32
0.0205,2.836,-8,2.836,-8,32,32
0.0206,2.8352,-8,2.8352,-8,32,32
0.0207,2.8344,-8,2.8344,-8,32,32
0.0208,2.8336,-8,2.8336,-8,32,32
0.0209,2.8328,-8,2.8328,-8,32,32
0.021,2.832,-8,2.832,-8,32,32
0.0211,2.8312,-8,2.8312,-8,32,32
0.0212,2.8304,-8,2.8304,-8,32,32
0.0213,2.8296,-8,2.8296,-8,32,32
0.0214,2.8288,-8,2.8288,-8,32,32
0.0215,2.828,-8,2.828,-8,32,32
0.0216,2.8272,-8,2.8272,-8,32,32
0.0217,2.8264,-8,2.8264,-8,32,32
0.0218,2.8256,-8,2.8256,-8,32,32
0.0219,2.8248,-8,2.8248,-8,32,32
0.022,2.824,-8,2.824,-8,32,32
0.0221,2.8232,-8,2.8232,-8,32,32
0.0222,2.8224,-8,2.8224,-8,32,32
0.0223,2.8216,-8,2.8216,-8,32,32
0.0224,2.8208,-8,2.8208,-8,32,32
0.0225,2.82,-8,2.82,-8,32,32
0.0226,2.8192,-8,2.8192,-8,32,32
0.0227,2.8184,-8,2.8184,-8,32,32
0.0228,2.8176,-8,2.8176,-8,32,32
0.0229,2.8168,-8,2.8168,-8,32,32
0.023,2.816,-8,2.816,-8,32,32
0.0231,2.8152,-8,2.8152,-8,32,32
0.0232,2.8144,-8,2.8144,-8,32,32
0.0233,2.8136,-8,2.8136,-8,32,32
0.0234,2.8128,-8,2.8128,-8,32,32
0.0235,2.812,-8,2.812,-8,32,32
0.0236,2.8112,-8,2.8112,-8,32,32
0.0237,2.8104,-8,2.8104,-8,32,32
0.0238,2.8096,-8,2.8096,-8,32,32
0.0239,2.8088,-8,2.8088,-8,32,32
0.024,2.808,-8,2.808,-8,32,32
0.0241,2.8072,-8,2.8072,-8,32,32
0.0242,2.8064,-8,2.8064,-8,32,32
0.0243,2.8056,-8,2.8056,-8,32,32
0.0244,2.8048,-8,2.8048,-8,32,32
0.0245,2.804,-8,2.804,-8,32,32
0.0246,2.8032,-8,2.8032,-8,32,32
0.0247,2.8024,-8,2.8024,-8,32,32
0.0248,2.8016,-8,2.8016,-8,32,32
0.0249,2.8008,-8,2.8008,-8,32,32
0.025,2.8,-8,2.8,-8,32,32
0.0251,2.7992,-8,2.7992,-8,32,32
0.0252,2.7984,-8,2.7984,-8,32,32
0.0253,2.7976,-8,2.7976,-8,32,32
0.0254,2.7968,-8,2.7968,-8,32,32
0.0255,2.796,-8,2.796,-8,32,32
0.0256,2.7952,-8,2.7952,-8,32,32
0.0257,2.7944,-8,2.7944,-8,32,32
0.0258,2.7936,-8,2.7936,-8,32,32
0.0259,2.7928,-8,2.7928,-8,32,32
0.026,2.792,-8,2.792,-8,32,32
0.0261,2.7912,-8,2.7912,-8,32,32
0.0262,2.7904,-8,2.7904,-8,32,32
0.0263,2.7896,-8,2.7896,-8,32,32
0.0264,2.7888,-8,2.7888,-8,32,32
0.0265,2.788,-8,2.788,-8,32,32
0.0266,2.7872,-8,2.7872,-8,32,32
0.0267,2.7864,-8,2.7864,-8,32,32
0.0268,2.7856,-8,2.7856,-8,32,32
0.0269,2.7848,-8,2.7848,-8,32,32
0.027,2.784,-8,2.784,-8,32,32
0.0271,2.7832,-8,2.7832,-8,32,32
0.0272,2.7824,-8,2.7824,-8,32,32
0.0273,2.7816,-8,2.7816,-8,32,32
0.0274,2.7808,-8,2.7808,-8,32,32
0.0275,2.78,-8,2.78,-8,32,32
0.0276,2.7792,-8,2.7792,-8,32,32
0.0277,2.7784,-8,2.7784,-8,32,32
0.0278,2.7776,-8,2.7776,-8,32,32
0.0279,2.7768,-8,2.7768,-8,32,32
